file,section,setting_key,path,swedish_text
page.coaching2.json,hero,heading,hero.settings.heading,"Vill du skapa men fastnat i ""hur"" – eller saknar du skaparglädjen du hade förr?"
page.coaching2.json,hero,subtitle,hero.settings.subtitle,"Upptäck din kreativitet, hitta ditt uttryck och låt skapandet bli en källa till mening, energi och närvaro i ditt liv."
page.coaching2.json,hero,cta_primary_text,hero.settings.cta_primary_text,Se våra paket
page.coaching2.json,hero,cta_secondary_text,hero.settings.cta_secondary_text,Läs mer om coachingen
page.coaching2.json,pain_points,text,pain_points.blocks.pain_1.settings.text,Har du länge burit på idéer som väntat på att få liv?
page.coaching2.json,pain_points,text,pain_points.blocks.pain_2.settings.text,"Fastnat i prestation, självkritik eller osäkerhet kring din riktning?"
page.coaching2.json,pain_points,text,pain_points.blocks.pain_3.settings.text,Längtar efter att ge plats åt din kreativitet – kanske för första gången på länge?
page.coaching2.json,pain_points,text,pain_points.blocks.pain_4.settings.text,Söker inspiration och vägledning för att ta nästa steg?
page.coaching2.json,pain_points,heading,pain_points.settings.heading,Vad längtar du efter i ditt skapande?
page.coaching2.json,pain_points,subheading,pain_points.settings.subheading,Känner du igen dig i något av detta?
page.coaching2.json,pain_points,cta_text,pain_points.settings.cta_text,Du behöver inte veta var du ska börja – vi utforskar det tillsammans.
page.coaching2.json,pain_points,cta_button_text,pain_points.settings.cta_button_text,Välj ditt paket
page.coaching2.json,about,title,about.blocks.cred_1.settings.title,Magisterexamen i fri konst
page.coaching2.json,about,description,about.blocks.cred_1.settings.description,Akademisk grund och djup konstnärlig kompetens
page.coaching2.json,about,title,about.blocks.cred_2.settings.title,10+ års erfarenhet
page.coaching2.json,about,description,about.blocks.cred_2.settings.description,Som yrkesverksam konstnär och kreativ coach
page.coaching2.json,about,title,about.blocks.cred_3.settings.title,Holistiskt synsätt
page.coaching2.json,about,description,about.blocks.cred_3.settings.description,Skapande som del av personlig utveckling
page.coaching2.json,about,label,about.settings.label,Om mig
page.coaching2.json,about,heading,about.settings.heading,Jag heter Therese Parner
page.coaching2.json,about,content,about.settings.content,"<p>Jag är konstnär, kreativ coach, tidigare lärare inom konst och kulturarbetare inom offentlig sektor. Genom åren har jag arbetat med många olika uttryck och material – från trä och textil till lera, metall och andra oväntade kombinationer.</p><p>För mig är naturen och utomhus som ett magiskt rum där tid och fantasi möts. Här kan idéer ta form, tankarna rensas och skapandeprocessen får egna andetag.</p><p>I coachingen möts lekfull nyfikenhet och handfast guidning. Oavsett om du söker konstnärlig fördjupning, ny inspiration eller en trygg plats för skapandeprocessen, finns jag här som samtalspartner, handledare och påhejare.</p>"
page.coaching2.json,about,cta_text,about.settings.cta_text,Se våra paket
page.coaching2.json,personas,name,personas.blocks.persona_1.settings.name,Den kreativa livsnjutaren
page.coaching2.json,personas,persona,personas.blocks.persona_1.settings.persona,"Eva, 59 år"
page.coaching2.json,personas,description,personas.blocks.persona_1.settings.description,"Du längtar efter att ge plats åt din kreativitet, kanske för första gången på länge, och vill fylla din fritid med något som ger extra mening. Här får du stöd att hitta ditt uttryck, skapa utan krav och låta processen bli en källa till glädje."
page.coaching2.json,personas,name,personas.blocks.persona_2.settings.name,Den målmedvetna sökaren
page.coaching2.json,personas,persona,personas.blocks.persona_2.settings.persona,"Leo, 26 år"
page.coaching2.json,personas,description,personas.blocks.persona_2.settings.description,"Du vet att du har något att säga, men behöver hjälp att forma din konstnärliga idé. Tillsammans arbetar vi med uttryck, portfölj, ansökningar eller projekt och bygger tillit till din inre drivkraft."
page.coaching2.json,personas,name,personas.blocks.persona_3.settings.name,Den nyfikna hantverkaren
page.coaching2.json,personas,persona,personas.blocks.persona_3.settings.persona,"Erik, 45 år"
page.coaching2.json,personas,description,personas.blocks.persona_3.settings.description,"Du skapar redan – i trä, färg, tyg eller ord – men vill förstå mer och utvecklas vidare. Här får du feedback, tips och nya perspektiv som hjälper dig att ta ditt skapande till nästa nivå."
page.coaching2.json,personas,name,personas.blocks.persona_4.settings.name,Den uppvaknande kreatören
page.coaching2.json,personas,persona,personas.blocks.persona_4.settings.persona,"Sofia, 38 år"
page.coaching2.json,personas,description,personas.blocks.persona_4.settings.description,Du har alltid haft fullt upp med jobb och vardag. Nu känner du allt starkare att du vill ge utrymme åt kreativiteten – som en egen plats utanför vardagens måsten.
page.coaching2.json,personas,label,personas.settings.label,För dig
page.coaching2.json,personas,heading,personas.settings.heading,Känner du igen dig?
page.coaching2.json,personas,subheading,personas.settings.subheading,Jag möter människor i alla åldrar och faser av livet. Här är några exempel på klienter jag arbetar med.
page.coaching2.json,personas,cta_text,personas.settings.cta_text,Oavsett var du befinner dig i livet – jag finns här för dig.
page.coaching2.json,personas,cta_button_text,personas.settings.cta_button_text,Se våra paket
page.coaching2.json,process,title,process.blocks.step_1.settings.title,Första samtalet
page.coaching2.json,process,duration,process.blocks.step_1.settings.duration,60 min
